2018-08-07 16:15:38,082 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 16:15:38,312 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:15:37 CST 2018]; root of context hierarchy
2018-08-07 16:15:38,351 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:15:37 CST 2018]; root of context hierarchy
2018-08-07 16:15:38,832 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 16:15:38,883 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1386 ms
2018-08-07 16:15:40,783 DEBUG (BaseJdbcLogger.java:159) - ==>  Preparing: select * from tb_item 
2018-08-07 16:15:40,822 DEBUG (BaseJdbcLogger.java:159) - ==> Parameters: 
2018-08-07 16:15:41,118 DEBUG (BaseJdbcLogger.java:159) - <==      Total: 3096
2018-08-07 16:15:55,947 DEBUG (BaseJdbcLogger.java:159) - ==>  Preparing: select * from tb_item 
2018-08-07 16:15:55,949 DEBUG (BaseJdbcLogger.java:159) - ==> Parameters: 
2018-08-07 16:15:56,086 DEBUG (BaseJdbcLogger.java:159) - <==      Total: 3096
2018-08-07 16:17:12,037 DEBUG (BaseJdbcLogger.java:159) - ==>  Preparing: select * from tb_item 
2018-08-07 16:17:12,037 DEBUG (BaseJdbcLogger.java:159) - ==> Parameters: 
2018-08-07 16:17:12,114 DEBUG (BaseJdbcLogger.java:159) - <==      Total: 3096
2018-08-07 16:18:15,908 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:15:37 CST 2018]; root of context hierarchy
2018-08-07 16:18:30,071 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 16:18:30,095 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:18:30 CST 2018]; root of context hierarchy
2018-08-07 16:18:30,162 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 16:18:30,600 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
